model_number,star_age,star_mass,log_L,Teff,radius,log_R,log_center_T,log_center_Rho,center_h1,center_he4,center_c12,center_o16,surface_h1,surface_he4,he_core_mass,co_core_mass,fe_core_mass,surf_avg_v_div_v_crit
72,25.119954899119023,49.99999999928501,5.534739751662878,50969.45718515185,7.50590424641593,0.8754030197735148,7.6597547781779936,0.5741462086062395,0.7600004560232803,0.23999315844581778,8.250059928912533e-34,1.2782274720756754e-39,0.7600000000000001,0.23998999999999954,0.0,0.0,0.0,0.20009888346614177
73,30.143955878942826,49.99999999928495,5.5347965461769,50974.564870950155,7.504890835444887,0.8753443794695346,7.65984214157236,0.5744177343941584,0.7600004932881997,0.23999357733251206,9.314396621147451e-34,2.1252348569132872e-39,0.7600000000000007,0.23998999999999973,0.0,0.0,0.0,0.2001350093402446
74,36.172757054731385,49.99999999928489,5.534870930809257,50981.26741714056,7.503560183616119,0.8752673702235639,7.6599568331342045,0.5747741835618091,0.7600005260149892,0.23999402440315315,1.0432000236716035e-33,3.521026633619269e-39,0.7600000000000003,0.23998999999999973,0.0,0.0,0.0,0.20018281353089823
75,43.40731846567767,49.999999999284796,5.534967486377357,50989.98590647623,7.501828305028553,0.8751671201943407,7.660106111524645,0.5752381175604563,0.7600005522543475,0.23999449726230673,1.1590819872904346e-33,5.8225134823451665e-39,0.76,0.23998999999999954,0.0,0.0,0.0,0.2002455456655688
76,52.088792158813206,49.999999999284704,5.535091801167227,51001.23175798046,7.499593625199807,0.8750377312430616,7.660298736342252,0.5758367732345383,0.7600005698967975,0.23999499112624723,1.2775782065867415e-33,9.612451168090336e-39,0.7600000000000006,0.2399899999999997,0.0,0.0,0.0,0.20032715180153227
77,62.506560590575845,49.9999999992846,5.535250503509884,51015.614516141744,7.496735146725446,0.8748721678625877,7.660545168227455,0.5766026846393969,0.760000576981664,0.23999549865496558,1.3973153176729591e-33,1.5820984013947918e-38,0.7600000000000006,0.23998999999999976,0.0,0.0,0.0,0.20043181096588378
78,75.00788270869101,49.99999999928445,5.535451507893628,51033.863045138474,7.493108603064978,0.874662027189057,7.660857891364834,0.5775747037669464,0.760000571934419,0.2399960142937996,1.5186070846599171e-33,2.601810781650154e-38,0.7600000000000001,0.23998999999999968,0.0,0.0,0.0,0.20056561172167794
79,90.0094692504292,49.99999999928428,5.535704150025638,51056.84146844282,7.4885433265291015,0.8743973468349038,7.661251716597506,0.5787989583829809,0.7600005537052426,0.2399965303031811,1.643251563524882e-33,4.278008880267488e-38,0.7600000000000005,0.2399899999999999,0.0,0.0,0.0,0.2007340155941279
80,108.01137310051504,49.99999999928407,5.536019615474534,51085.58113758486,7.4828371246908105,0.874066292247243,7.661744122638131,0.5803300046195039,0.7600005220773147,0.2399970376328704,1.7755052557640037e-33,7.036171530571273e-38,0.7600000000000003,0.23998999999999976,0.0,0.0,0.0,0.20092459024794337
81,129.61365772061805,49.99999999928384,5.536411782134096,51121.33926901197,7.4757471884157445,0.8736546061722201,7.66235556370261,0.582231851788078,0.7600004781500744,0.2399975246093883,1.922401101337378e-33,1.1552634004412474e-37,0.7600000000000005,0.23999000000000004,0.0,0.0,0.0,0.20115407539609134
82,155.53639926474168,49.999999999283546,5.536894735034339,51165.49533177886,7.467000194289673,0.8731461626285009,7.663110396882114,0.5845804494269783,0.7600004238329895,0.23999798332617428,2.0958155246768643e-33,1.899878955974724e-37,0.76,0.23998999999999995,0.0,0.0,0.0,0.20143739358009882
83,186.64368911769,49.999999999283204,5.537486363516547,51219.752439935684,7.456265992241022,0.8725213924926508,7.664037377819241,0.5874654605694759,0.7600003618698635,0.2399984065921803,2.3127133078228957e-33,3.144301376481588e-37,0.7600000000000005,0.23999,0.0,0.0,0.0,0.20178745268437662
84,223.972436941228,49.99999999928279,5.538209016105889,51286.26365512383,7.443129026911628,0.8717555475677204,7.665172272580051,0.5909985279028352,0.7600002899616009,0.23999881648290106,2.6128655086739685e-33,5.550597837332003e-37,0.76,0.23999000000000004,0.0,0.0,0.0,0.20221783713565514
85,268.7669343294736,49.9999999992823,5.539087507683419,51367.4745334495,7.427120773938396,0.8708204861249066,7.6665553537341715,0.5953050051886277,0.7600002180796829,0.23999917003384477,3.019788732155827e-33,1.0001536354293562e-36,0.76,0.23998999999999998,0.0,0.0,0.0,0.20274103588220252
86,322.5203311953683,49.99999999928172,5.540150407966354,51466.2952724161,7.4076857478460525,0.8696825502301401,7.668233913227815,0.6005316821403234,0.7600001518888637,0.23999945766280484,3.591605010798877e-33,1.8480845503207123e-36,0.7599999999999999,0.2399899999999999,0.0,0.0,0.0,0.20338015107600935
